Comment,positive,negative,neutral
Nice app,0.737,0.0,0.263
Super,1.0,0.0,0.0
Super till date,0.661,0.0,0.339
Account activation confirmation very slowly and not work improve this issue,0.0,0.194,0.806
Useful application,0.744,0.0,0.256
Very good,0.762,0.0,0.238
Best \ay?Ment app,0.677,0.0,0.323
Ok,1.0,0.0,0.0
Axilent,0.0,0.0,1.0
Waste reward we want cashback .. who need those rewards... shifting to another app..,0.266,0.149,0.585
Use google pay for fast pay.this phonepe app is one of the slowest app in the planet,0.0,0.08,0.92
But ana open Panna mudiyala,0.0,0.0,1.0
Good App,0.744,0.0,0.256
Bast .Phonepe.,0.0,0.0,1.0
"I was a phonepe user from a long time, but recently they started charging 2rs extra for mobile recharge whereas other upi apps are not.. disappointed.",0.0,0.159,0.841
Osweam,0.0,0.0,1.0
Good,1.0,0.0,0.0
Good,1.0,0.0,0.0
Nic,0.0,0.0,1.0
Well Good service To pay easy mood...,0.642,0.114,0.244
Chargeble ap very bed,0.0,0.0,1.0
Work finishes with in blink your eyes. So good performing app. Work makes very very very very easy.,0.302,0.0,0.698
Very good,0.762,0.0,0.238
Very bad it's just blackmailing people naw this app starts charging amount without reason or before information that's why I m uninstalling it,0.0,0.159,0.841
This is a discusting 399 recharge and 2 rupees process charges uther operator is not charging this fees why use this app????,0.0,0.139,0.861
"Very secured App, Thanks",0.755,0.0,0.245
I want to send a recharge plane to my brother of 598 which was writen in the plane but when I paid 700 rs recharge gone to my brother.Please fix my problem,0.036,0.112,0.852
Anil kumar,0.0,0.0,1.0
Osm,0.0,0.0,1.0
Op,0.0,0.0,1.0
Fare not very fast,0.0,0.0,1.0
Super,1.0,0.0,0.0
Good,1.0,0.0,0.0
Good,1.0,0.0,0.0
Love it,0.808,0.0,0.192
Jagadish. M. Yadav,0.0,0.0,1.0
Nice very nice app,0.747,0.0,0.253
Good,1.0,0.0,0.0
good NICE,1.0,0.0,0.0
Best...,0.0,0.0,1.0
Good,1.0,0.0,0.0
Thik h,0.0,0.0,1.0
Very good app,0.615,0.0,0.385
Good app,0.744,0.0,0.256
Good,1.0,0.0,0.0
you are not giving referral amount and making fool,0.0,0.414,0.586
Hi Good,0.744,0.0,0.256
Very nice,0.756,0.0,0.244
Excelent,0.0,0.0,1.0
This app is worst Invalid coupon codes,0.0,0.406,0.594
Beautiful,1.0,0.0,0.0
Nice,1.0,0.0,0.0
Worst app,0.0,0.804,0.196
"Every time transaction is failure Very bad not supporting this emergency needs money, Scanning also failure",0.0,0.594,0.406
When Gpay fails phonepay makes it with EASE,0.269,0.233,0.499
Very good app,0.615,0.0,0.385
Superb,1.0,0.0,0.0
Easy to use .,0.592,0.0,0.408
Nice,1.0,0.0,0.0
Good,1.0,0.0,0.0
I love you phonepe,0.677,0.0,0.323
Good,1.0,0.0,0.0
Best aap,0.808,0.0,0.192
Good application,0.744,0.0,0.256
Good,1.0,0.0,0.0
Add BBMP PROPERTY TAX PAYMENT OPTION AND BANGALORE TRAFFIC FINES OPTION..,0.0,0.0,1.0
From wallet to bank account transfer the money not sure. Many times phone pe to phone pe money transfer is not possible.,0.0,0.085,0.915
Good service,0.744,0.0,0.256
Excellent,1.0,0.0,0.0
Good work,0.744,0.0,0.256
Mindbloing app,0.0,0.0,1.0
Best,1.0,0.0,0.0
Good,1.0,0.0,0.0
Podt,0.0,0.0,1.0
Good,1.0,0.0,0.0
Good,1.0,0.0,0.0
Easy way to payment‚,0.492,0.0,0.508
Good experience,0.744,0.0,0.256
Good,1.0,0.0,0.0
"Very good app. I fill safe while using this app. It is very fast , easy, and safe app. Thank you phonepe to provide such a wonderful facility for us.",0.467,0.0,0.533
Very useful application,0.615,0.0,0.385
Best app,0.808,0.0,0.192
Very very bad,0.0,0.671,0.329
super duper,0.796,0.0,0.204
Nice,1.0,0.0,0.0
Excellent work,0.787,0.0,0.213
Super,1.0,0.0,0.0
Nice app,0.737,0.0,0.263
Very good,0.762,0.0,0.238
"Baban, Kumar Attibele centre of Indian Bank",0.0,0.0,1.0
Please help,1.0,0.0,0.0
Google app,0.0,0.0,1.0
Best app ever,0.677,0.0,0.323
Recharge kartey time phonePe charge kar raha please charge phonePe 1 Star â­ rateing,0.161,0.0,0.839
"You guys really suck, deleting my comments from your backend system, I want everyone to be aware like how your payment system works, deducting money frm users account and failing the transactions, so so difficult to reach your team to report an issue or talk to your ppl. Also charging convince fee for the credit card payments...time to uninstall this app...",0.136,0.14,0.724
Sometimes loading issues otherwise good application,0.367,0.0,0.633
Nice,1.0,0.0,0.0
Safe and egy Hiiiiiiiii,0.492,0.0,0.508
Good & simple pracess,0.592,0.0,0.408
Good,1.0,0.0,0.0
Tq,0.0,0.0,1.0
Amazing,1.0,0.0,0.0
Nice ,1.0,0.0,0.0
Hanif,0.0,0.0,1.0
Superb,1.0,0.0,0.0
Nice,1.0,0.0,0.0
Good,1.0,0.0,0.0
Good,1.0,0.0,0.0
Cash back offers not interested,0.0,0.361,0.639
Good service,0.744,0.0,0.256
Awesome,1.0,0.0,0.0
Awasome and simple,0.0,0.0,1.0
best app,0.808,0.0,0.192
Happy,1.0,0.0,0.0
Good,1.0,0.0,0.0
Nice app and very useful for shop,0.545,0.0,0.455
Semma,0.0,0.0,1.0
Good,1.0,0.0,0.0
Good,1.0,0.0,0.0
Nyc,0.0,0.0,1.0
Good useful app but now it's policy most worst,0.244,0.381,0.375
Nice,1.0,0.0,0.0
Nice app...great experience.,0.583,0.0,0.417
à¤…à¤®à¥€à¤° à¤•à¤¾ à¤«à¥‹à¤Ÿà¥‹ à¤¹à¤Ÿà¤¾à¤“ à¤µà¤°à¤¨à¤¾à¥¤ app uninstall,0.0,0.0,1.0
Very nice,0.756,0.0,0.244
Good,1.0,0.0,0.0
Too much slow they made a scam with me of 70k I m very poor they r not giving me my money back ðŸ™plzz use another app but don't use this one it's a scam app,0.0,0.292,0.708
Mast,0.0,0.0,1.0
Let me experience,0.0,0.0,1.0
Louda app no cashback offers ntnhg since 5years why r u running app close app foolsðŸ˜‚ðŸ˜‚ðŸ˜‚8ðŸ˜…ðŸ˜…ðŸ¥²ðŸ¥²4ðŸ˜¥4,0.0,0.145,0.855
"Why and how can someone else cover my account without sharing OTP and card details I am telling you that my account was hacked, someone was in someone's mobile, there was a call from an unknown number, please check this Don't make any kind of problem.",0.071,0.159,0.77
Visual,0.0,0.0,1.0
Happy,1.0,0.0,0.0
Good apps,0.744,0.0,0.256
Good luck with everything,0.747,0.0,0.253
Good,1.0,0.0,0.0
So easy,0.762,0.0,0.238
